customer_id,region,country,age,gender,acquisition_channel,signup_date
10001,Middle East,Turkey,32,F,Referral,2022-12-08
10002,North America,Canada,55,F,Social Ads,2022-03-08
10003,Southeast Asia,Thailand,30,M,Email,2024-09-16
10004,North America,Mexico,28,F,Referral,2024-03-11
10005,North America,USA,22,F,Paid Search,2023-06-03
10006,Middle East,Turkey,46,M,Paid Search,2023-09-13
10007,Middle East,UAE,27,F,Organic,2022-05-14
10008,North America,Mexico,57,F,Social Ads,2022-01-22
10009,Europe,UK,42,M,Email,2022-10-24
10010,North America,Canada,22,F,Social Ads,2022-08-16
10011,North America,USA,44,F,Referral,2023-06-16
10012,North America,Canada,50,M,Social Ads,2023-06-23
10013,Southeast Asia,Thailand,44,M,Email,2024-06-08
10014,Southeast Asia,Vietnam,28,M,Influencer,2024-03-06
10015,Southeast Asia,Philippines,30,F,Organic,2023-05-23
10016,Europe,UK,16,F,Organic,2022-10-19
10017,North America,Canada,16,M,Email,2024-05-12
10018,Middle East,UAE,54,F,Paid Search,2022-08-11
10019,Europe,Poland,37,F,Organic,2022-04-05
10020,Southeast Asia,Indonesia,23,F,Organic,2023-06-17
10021,Europe,UK,54,F,Organic,2022-03-19
10022,Southeast Asia,Philippines,49,F,Paid Search,2023-02-10
10023,Latin America,Argentina,38,F,Organic,2023-10-21
10024,North America,USA,31,M,Organic,2022-02-10
10025,Middle East,UAE,38,F,Paid Search,2022-05-10
10026,North America,Canada,33,F,Social Ads,2023-03-09
10027,North America,Canada,43,M,Social Ads,2023-05-19
10028,North America,Mexico,35,M,Influencer,2024-08-19
10029,North America,Mexico,21,F,Paid Search,2023-07-17
10030,Middle East,Saudi Arabia,58,M,Organic,2023-11-08
10031,North America,Canada,22,M,Organic,2023-08-09
10032,North America,USA,23,M,Paid Search,2022-10-22
10033,Middle East,Turkey,33,M,Organic,2024-08-22
10034,Europe,Poland,23,M,Referral,2023-09-24
10035,North America,Canada,30,M,Paid Search,2023-02-28
10036,North America,Canada,45,F,Referral,2023-08-25
10037,Europe,UK,47,F,Paid Search,2024-05-27
