campaign_id,year,month,channel,budget,impressions,clicks,conversions,attributed_revenue
901,2022,1,Paid Search,14990,1453897,90668,246,20226
902,2022,1,Social Ads,7385,822369,54691,194,13954
903,2022,1,Influencer,3063,400216,13534,131,13116
904,2022,1,Email,639,55639,3474,40,4092
905,2022,1,Referral,2111,180565,9831,69,6344
906,2022,1,Organic,459,40871,1477,64,3890
907,2022,2,Paid Search,11467,1180061,56315,204,13815
908,2022,2,Social Ads,8005,1088775,39308,160,15289
909,2022,2,Influencer,3891,347093,13561,155,15472
910,2022,2,Email,924,136825,6642,93,7109
911,2022,2,Referral,2422,202245,17355,114,8809
912,2022,2,Organic,469,65084,2524,38,3881
913,2022,3,Paid Search,14189,2112967,60290,182,17636
914,2022,3,Social Ads,7095,808775,22534,230,15335
915,2022,3,Influencer,1589,214449,7423,98,6352
916,2022,3,Email,988,97391,5265,121,7571
917,2022,3,Referral,1989,235627,9593,73,7567
918,2022,3,Organic,794,71744,6144,81,6377
919,2022,4,Paid Search,13089,1234221,89500,182,18038
920,2022,4,Social Ads,5691,716549,36283,90,10376
921,2022,4,Influencer,2732,304774,20452,179,11492
922,2022,4,Email,1191,133341,4087,104,7971
923,2022,4,Referral,1893,202453,14467,87,6182
924,2022,4,Organic,727,96900,3485,57,6431
925,2022,5,Paid Search,14699,2147371,69006,163,16588
926,2022,5,Social Ads,7203,748729,27211,146,15678
927,2022,5,Influencer,1596,132282,5846,81,6835
928,2022,5,Email,733,77668,3168,49,4441
929,2022,5,Referral,1129,165423,6624,38,3744
930,2022,5,Organic,577,66932,2825,57,4942
931,2022,6,Paid Search,10168,1060542,65531,129,14089
932,2022,6,Social Ads,5286,654433,28670,186,12904
933,2022,6,Influencer,3043,261975,13498,208,12925
934,2022,6,Email,1469,181312,8643,115,7815
935,2022,6,Referral,1876,194645,11074,77,6026
936,2022,6,Organic,472,48411,1430,41,3216
937,2022,7,Paid Search,9264,929508,52113,132,12747
938,2022,7,Social Ads,6319,580943,36949,149,14012
939,2022,7,Influencer,3673,380371,27233,136,15304
940,2022,7,Email,924,101929,4300,54,6374
941,2022,7,Referral,2163,312011,8860,88,7559
942,2022,7,Organic,380,38670,2556,26,2984
943,2022,8,Paid Search,12973,1172397,81596,156,15226
944,2022,8,Social Ads,6765,614850,24432,123,11853
945,2022,8,Influencer,3894,470062,14713,234,19871
946,2022,8,Email,861,94012,5032,61,6464
947,2022,8,Referral,2257,330935,7942,87,8150
948,2022,8,Organic,451,44452,1433,37,3297
949,2022,9,Paid Search,13923,1659619,76801,173,14502
950,2022,9,Social Ads,8785,812982,66653,160,18673
951,2022,9,Influencer,2540,337150,19502,183,13864
952,2022,9,Email,880,108519,4311,54,5090
953,2022,9,Referral,2383,331519,10980,139,9490
954,2022,9,Organic,463,53133,2899,32,3358
955,2022,10,Paid Search,8327,1088248,58892,81,9419
956,2022,10,Social Ads,7594,881952,36016,166,15098
957,2022,10,Influencer,2919,278952,22597,177,13661
958,2022,10,Email,751,86559,4851,50,4140
959,2022,10,Referral,1483,144866,9681,48,5617
960,2022,10,Organic,617,71127,2880,46,5225
961,2022,11,Paid Search,13996,1952803,80434,280,21680
962,2022,11,Social Ads,8071,874010,49711,144,13822
963,2022,11,Influencer,4350,516192,32031,194,21553
964,2022,11,Email,1847,162439,10406,187,11391
965,2022,11,Referral,3368,427980,14820,130,13085
966,2022,11,Organic,524,69954,2545,43,3563
967,2022,12,Paid Search,19712,2483577,78853,310,28595
968,2022,12,Social Ads,13237,1620407,99555,241,25224
969,2022,12,Influencer,4253,509650,31956,233,21400
970,2022,12,Email,952,91131,3635,47,5638
971,2022,12,Referral,3471,449107,24199,109,11544
972,2022,12,Organic,433,59088,2307,36,3227
973,2023,1,Paid Search,8159,857776,51866,139,10766
974,2023,1,Social Ads,7015,816332,50281,200,16394
975,2023,1,Influencer,1938,176169,8794,110,7648
976,2023,1,Email,1242,128281,7380,75,7218
977,2023,1,Referral,2391,323199,12129,93,9278
978,2023,1,Organic,356,39636,1458,29,3127
979,2023,2,Paid Search,11915,1237548,73162,179,15578
980,2023,2,Social Ads,7218,879001,26718,151,15616
981,2023,2,Influencer,1532,193371,8686,85,6553
982,2023,2,Email,1357,149421,5213,123,10328
983,2023,2,Referral,2248,274134,10197,67,6720
984,2023,2,Organic,649,76489,3755,46,5556
985,2023,3,Paid Search,8104,974710,36648,132,11808
986,2023,3,Social Ads,6992,674863,29110,214,13778
987,2023,3,Influencer,3997,510846,25309,186,17894
988,2023,3,Email,1088,103714,4137,73,5998
989,2023,3,Referral,1784,259538,13604,91,7273
990,2023,3,Organic,439,56885,2633,36,3285
991,2023,4,Paid Search,9763,1315096,50830,98,10848
992,2023,4,Social Ads,5596,544781,44683,139,10836
993,2023,4,Influencer,3201,461590,20964,136,12994
994,2023,4,Email,990,83253,7582,70,5993
995,2023,4,Referral,1035,131703,8197,36,4151
996,2023,4,Organic,421,35957,2736,26,2725
997,2023,5,Paid Search,8422,1122757,43964,118,9746
998,2023,5,Social Ads,8114,751347,58317,233,15293
999,2023,5,Influencer,3121,402656,11480,209,15158
1000,2023,5,Email,976,134117,2968,75,5943
1001,2023,5,Referral,1182,153699,6922,35,3686
1002,2023,5,Organic,667,90665,4818,43,4574
1003,2023,6,Paid Search,11874,1333661,81054,166,16580
1004,2023,6,Social Ads,7152,600715,49132,145,14970
1005,2023,6,Influencer,3661,369844,25243,222,20323
1006,2023,6,Email,570,66986,2039,46,3257
1007,2023,6,Referral,1207,102384,8414,50,4655
1008,2023,6,Organic,767,99467,5093,50,5293
1009,2023,7,Paid Search,11981,1062238,91675,227,14321
1010,2023,7,Social Ads,8436,1158113,62983,149,14612
1011,2023,7,Influencer,3818,479728,19505,261,21849
1012,2023,7,Email,730,102888,5550,60,4822
1013,2023,7,Referral,1686,218258,8784,54,5642
1014,2023,7,Organic,722,67527,3157,55,5114
1015,2023,8,Paid Search,13564,1370972,77679,159,15254
