item_id,order_id,product_id,category,quantity,unit_price,line_total
800001,200001,5101,Beauty,2,17.26,34.52
800002,200001,5089,Beauty,2,29.62,59.24
800003,200002,5059,Home & Kitchen,1,87.4,87.4
800004,200002,5087,Books,1,12.69,12.69
800005,200002,5129,Clothing,2,34.55,69.1
800006,200002,5010,Home & Kitchen,1,91.19,91.19
800007,200003,5212,Sports,1,29.01,29.01
800008,200003,5126,Beauty,1,18.86,18.86
800009,200003,5034,Beauty,1,36.33,36.33
800010,200003,5005,Electronics,2,466.82,933.64
800011,200004,5056,Sports,2,85.1,170.2
800012,200004,5095,Electronics,1,516.16,516.16
800013,200005,5033,Electronics,2,382.22,764.44
800014,200006,5137,Electronics,1,839.18,839.18
800015,200006,5129,Clothing,1,34.55,34.55
800016,200007,5232,Electronics,2,373.73,747.46
800017,200008,5243,Books,1,20.54,20.54
800018,200009,5232,Electronics,1,373.73,373.73
800019,200009,5142,Electronics,1,375.25,375.25
800020,200009,5237,Books,1,11.8,11.8
800021,200010,5130,Clothing,1,74.25,74.25
800022,200010,5213,Toys,1,27.76,27.76
800023,200010,5162,Toys,2,18.62,37.24
800024,200011,5191,Clothing,1,71.46,71.46
800025,200012,5066,Sports,1,74.1,74.1
800026,200013,5031,Toys,1,47.31,47.31
800027,200013,5202,Toys,1,37.17,37.17
800028,200013,5160,Beauty,1,17.66,17.66
800029,200014,5069,Sports,3,98.14,294.42
800030,200014,5006,Beauty,2,29.79,59.58
800031,200015,5249,Home & Kitchen,1,92.52,92.52
800032,200015,5089,Beauty,3,29.62,88.86
800033,200015,5159,Clothing,1,68.99,68.99
800034,200016,5188,Books,1,18.37,18.37
800035,200017,5194,Books,1,36.02,36.02
800036,200018,5188,Books,2,18.37,36.74
800037,200018,5125,Books,1,35.82,35.82
800038,200018,5121,Toys,1,41.02,41.02
800039,200018,5054,Toys,2,25.52,51.04
800040,200019,5008,Electronics,2,18.74,37.48
800041,200020,5228,Books,1,26.25,26.25
800042,200021,5186,Clothing,1,37.58,37.58
800043,200022,5094,Home & Kitchen,1,134.91,134.91
800044,200022,5178,Home & Kitchen,1,44.62,44.62
800045,200023,5142,Electronics,1,375.25,375.25
800046,200024,5093,Clothing,1,56.17,56.17
800047,200024,5107,Books,1,18.64,18.64
800048,200025,5081,Beauty,1,24.64,24.64
