order_id,customer_id,order_date,order_year,order_month,device,channel,discount_pct,gross_amount,discount_amount,net_amount,free_shipping,ab_variant,is_returned
200001,10001,2024-05-14,2024,5,Mobile,Organic,5,93.76,4.69,89.07,1,,0
200002,10001,2024-08-08,2024,8,Desktop,Social Ads,5,260.38,13.02,239.94,1,B,0
200003,10001,2024-11-28,2024,11,Desktop,Influencer,10,1017.84,101.78,916.06,1,A,0
200004,10001,2024-11-05,2024,11,Mobile,Influencer,0,686.36,0,665.77,1,B,1
200005,10001,2024-08-14,2024,8,Mobile,Referral,0,764.44,0,741.51,1,B,0
200006,10001,2024-07-23,2024,7,Desktop,Paid Search,0,873.73,0,873.73,1,A,1
200007,10001,2023-10-05,2023,10,Desktop,Paid Search,10,747.46,74.75,672.71,1,,0
200008,10001,2023-02-08,2023,2,Desktop,Referral,0,20.54,0,20.54,0,,0
200009,10002,2024-11-06,2024,11,Desktop,Organic,0,760.78,0,760.78,1,A,0
200010,10002,2022-11-12,2022,11,Tablet,Paid Search,0,139.25,0,139.25,1,,0
200011,10002,2024-06-11,2024,6,Desktop,Paid Search,0,71.46,0,69.32,1,B,1
200012,10003,2024-11-12,2024,11,Mobile,Paid Search,0,74.1,0,74.1,1,A,0
200013,10004,2024-10-01,2024,10,Desktop,Social Ads,5,102.14,5.11,94.12,1,B,0
200014,10004,2024-12-25,2024,12,Mobile,Email,0,354,0,343.38,1,B,0
200015,10004,2024-04-19,2024,4,Mobile,Organic,10,250.37,25.04,225.33,1,,0
200016,10004,2024-09-09,2024,9,Mobile,Social Ads,0,18.37,0,18.37,0,A,0
200017,10004,2024-11-01,2024,11,Desktop,Social Ads,0,36.02,0,34.94,0,B,0
200018,10004,2024-09-11,2024,9,Mobile,Social Ads,10,164.62,16.46,148.16,1,A,0
200019,10004,2024-10-11,2024,10,Desktop,Social Ads,0,37.48,0,37.48,0,A,1
200020,10004,2024-09-04,2024,9,Desktop,Social Ads,0,26.25,0,25.46,0,B,0
200021,10005,2024-11-02,2024,11,Desktop,Social Ads,20,37.58,7.52,30.06,0,A,0
200022,10005,2024-07-25,2024,7,Desktop,Social Ads,20,179.53,35.91,143.62,1,A,0
200023,10006,2024-08-23,2024,8,Mobile,Email,0,375.25,0,375.25,1,A,1
200024,10007,2023-12-16,2023,12,Mobile,Organic,5,74.81,3.74,71.07,1,,0
200025,10007,2024-02-21,2024,2,Mobile,Organic,0,24.64,0,24.64,0,,0
200026,10007,2024-03-11,2024,3,Desktop,Email,0,79.95,0,79.95,1,,0
200027,10007,2024-12-18,2024,12,Tablet,Social Ads,0,380.7,0,369.28,1,B,0
200028,10007,2024-08-28,2024,8,Mobile,Organic,0,55.64,0,55.64,1,A,1
200029,10008,2024-04-20,2024,4,Desktop,Email,40,223.82,89.53,134.29,1,,0
200030,10008,2022-12-03,2022,12,Desktop,Email,40,29.46,11.78,17.68,0,,0
200031,10008,2022-12-28,2022,12,Desktop,Organic,30,22.71,6.81,15.9,0,,1
200032,10009,2024-02-10,2024,2,Desktop,Organic,10,393.24,39.32,353.92,1,,0
200033,10009,2023-03-19,2023,3,Tablet,Social Ads,0,700.95,0,700.95,1,,0
200034,10010,2024-08-08,2024,8,Desktop,Email,0,129.17,0,125.29,1,B,1
200035,10010,2024-04-03,2024,4,Mobile,Influencer,5,17.78,0.89,16.89,0,,0
200036,10010,2023-07-08,2023,7,Mobile,Email,10,210.81,21.08,189.73,1,,0
200037,10010,2023-01-02,2023,1,Desktop,Influencer,0,5,0,5,0,,0
200038,10010,2024-05-24,2024,5,Desktop,Referral,0,618.45,0,618.45,1,,0
200039,10010,2023-07-11,2023,7,Mobile,Organic,0,50.82,0,50.82,1,,0
200040,10010,2024-06-01,2024,6,Desktop,Paid Search,0,51.9,0,50.34,1,B,0
200041,10011,2024-05-26,2024,5,Mobile,Social Ads,0,32.37,0,32.37,0,,0
200042,10011,2023-10-06,2023,10,Desktop,Email,0,269.76,0,269.76,1,,0
200043,10011,2024-11-23,2024,11,Mobile,Paid Search,5,41.36,2.07,39.29,0,A,0
200044,10011,2023-11-01,2023,11,Mobile,Email,0,975.7,0,975.7,1,,0
200045,10011,2024-10-06,2024,10,Mobile,Organic,0,89.63,0,86.94,1,B,0
200046,10011,2023-12-17,2023,12,Desktop,Influencer,5,81.22,4.06,77.16,1,,0
200047,10011,2024-07-26,2024,7,Desktop,Organic,0,117.2,0,117.2,1,A,0
200048,10011,2024-11-05,2024,11,Desktop,Social Ads,0,33.11,0,33.11,0,A,0
200049,10012,2024-07-16,2024,7,Mobile,Organic,0,743.05,0,743.05,1,A,0
200050,10012,2024-12-19,2024,12,Mobile,Social Ads,0,53.11,0,51.52,1,B,0
200051,10013,2024-10-15,2024,10,Mobile,Influencer,0,15.6,0,15.6,0,A,0
200052,10013,2024-12-19,2024,12,Desktop,Organic,5,1752.14,87.61,1664.53,1,A,0
200053,10013,2024-12-03,2024,12,Desktop,Organic,0,36.61,0,36.61,0,A,0
200054,10013,2024-12-02,2024,12,Mobile,Social Ads,10,70.22,7.02,63.2,1,A,0
200055,10014,2024-12-23,2024,12,Mobile,Organic,15,109.34,16.4,90.15,1,B,0
200056,10014,2024-12-14,2024,12,Desktop,Paid Search,0,29.01,0,29.01,0,A,0
200057,10014,2024-11-23,2024,11,Mobile,Paid Search,0,145.77,0,141.4,1,B,0
200058,10014,2024-09-14,2024,9,Mobile,Email,0,82.65,0,80.17,1,B,0
200059,10015,2024-01-05,2024,1,Desktop,Organic,10,47.53,4.75,42.78,0,,0
200060,10016,2024-07-15,2024,7,Desktop,Referral,0,197.06,0,191.15,1,B,0
